Phrase,label
"('sso', 'of')",Sanitary Sewer Overflow
"('sso', 'wvwa')",Sanitary Sewer Overflow
"('unknown', 'rp')",
"('landfill', 'odor')",
"('diesel', 'release')",
"('tta', 'diesel')",
"('oil', 'spill')",
"('pump', 'station')",
"('diesel', 'spill')",
"('hydraulic', 'oil')",
"('oil', 'release')",
"('dominion', 'energy')",
"('private', 'residence')",
"('us', 'navy')",
"('fish', 'kill')",
"('newport', 'news')",
"('unknown', 'sheen')",
"('odor', 'concern')",
"('sso', 'hcpsa')",
"('hydraulic', 'fluid')",
"('illicit', 'discharge')",
"('water', 'discharge')",
"('saddle', 'tank')",
"('mineral', 'oil')",
"('bypass', 'of')",
"('tta', 'diesel', 'release')",
"('tire', 'pile')",
"('concern', 'boxley')",
"('odor', 'concern', 'boxley')",
"('of', 'christiansburg')",
"('of', 'lynchburg')",
"('waste', 'tire')",
"('open', 'burning')",
"('naval', 'station')",
"('gallons', 'of')",
"('of', 'salem')",
"('motor', 'oil')",
"('waste', 'tire', 'pile')",
"('sso', 'of', 'salem')",
"('sso', 'of', 'christiansburg')",
"('tank', 'release')",
"('sso', 'brwa')",
"('boxley', 'materials')",
"('sso', 'of', 'lynchburg')",
"('concern', 'boxley', 'materials')",
"('gasoline', 'spill')",
"('navy', 'nsn')",
"('us', 'navy', 'nsn')",
"('poultry', 'litter')",
"('nonpcb', 'mineral')",
"('release', 'from')",
"('potable', 'water')",
"('saddle', 'tank', 'release')",
"('nonpcb', 'mineral', 'oil')",
"('ssounpermitted', 'of')",
"('diesel', 'fuel')",
"('hydraulic', 'oil', 'spill')",
"('certified', 'waste')",
"('certified', 'waste', 'tire')",
"('release', 'to')",
"('fairfax', 'co')",
"('wwtp', '–')",
"('sewage', 'discharge')",
"('chemical', 'odor')",
"('mcb', 'quantico')",
"('of', 'covington')",
"('potable', 'water', 'discharge')",
"('sunken', 'vessel')",
"('fuel', 'spill')",
"('fuel', 'oil')",
"('uncovered', 'poultry')",
"('storm', 'drain')",
"('spill', 'dominion')",
"('sso', 'unpermitted')",
"('fuel', 'release')",
"('chemical', 'odor', 'concern')",
"('spill', 'unknown')",
"('transformer', 'oil')",
"('uncovered', 'poultry', 'litter')",
"('tractor', 'trailer')",
"('solid', 'waste')",
"('construction', 'site')",
"('little', 'creek')",
"('notification', 'only')",
"('spill', 'dominion', 'energy')",
"('spill', 'unknown', 'rp')",
"('tta', 'saddle')",
"('tta', 'saddle', 'tank')",
"('of', 'saltville')",
"('sewer', 'pump')",
"('private', 'vehicle')",
"('in', 'stream')",
"('hydraulic', 'oil', 'release')",
"('sso', 'henrico')",
"('discharge', 'of')",
"('of', 'abingdon')",
"('land', 'disturbance')",
"('fluid', 'spill')",
"('active', 'certified')",
"('creek', 'sps')",
